Category,Brand,Product Name,Star Rating,Number of reviews,Description,Product ID,Color,Size,Regular Price,Previous Price,Feature Image URLs,Carousel Image URLs,URL
Hike & Camp / Bags & Backpacks / Travel Backpacks,Decathlon  Forclaz,Forclaz Women's Travel 900 60 + 6 L Backpacking Pack,4.68,121,"This backpack is ideal for travelling and going from one place to another without having to hike for too long: very robust and practical, your can transport all your belongings. Comes with a waterproof cover.
The Travel 900 60+6 only weighs 5.3 lbs and can contain a total volume of 60 liters which we recommend for trips over 2 weeks. The top of the bag is detachable to be used as a daypack and can contain 6 extra liters.
Suitcase opening for a better organization of your belongings inside the backpack with safety lock holes in the zippers to prevent theft.
The EASYFIT technology allows you to simultaneaously adjust the back and the straps of the bag by pulling the 2 straps located on each side of the bag
This is a women's backpack: This bag has been conceived for a feminine morphology (torso and hips). We recommend to consider the users physical morphology when you choose a bag for comfort purposes when carrying it on your back.
10-year warranty: the fabric of the bag is ultra resistant and Decathlon is proud to offer this warranty for any defect that could appear in the next 10 years.",8580010,Dark Pink,60 + 6 L,$169.00,,https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2606527.jpg?v=1712058303&width=675,"https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2606527.jpg?v=1712058303&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2210181.jpg?v=1701087954&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2479901.jpg?v=1701087952&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420512.jpg?v=1701087952&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420511.jpg?v=1701087952&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420510.jpg?v=1701087952&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2480607.jpg?v=1701087951&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420509.jpg?v=1701087953&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420508.jpg?v=1701087953&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2420507.jpg?v=1701087953&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2210186.jpg?v=1701087953&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2511227.jpg?v=1701087954&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2511330.jpg?v=1701087954&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2512796.jpg?v=1701087954&width=150, https://www.decathlon.com/cdn/shop/files/8580010-product_image-p2479818.jpg?v=1712058320&width=150",https://www.decathlon.com/collections/travel-packs/products/forclaz-travel-trekking-900-606-l-backpack-324138
Hike & Camp / Bags & Backpacks / Duffel Bags,Decathlon  Forclaz,Forclaz 100 L Duffel Bag,4.6,177,"Weight: 2.6 lbs (1.16 kg)
Capacity: 100 L
10-Year Warranty
Versatility: Inside Pocket, Label Holder, Spare Shoulder Straps, 2 x Handles",8581546,Carbon Gray,One Size,$69.99,,https://www.decathlon.com/cdn/shop/files/8581546-product_image-p2606576.jpg?v=1712145145&width=675,"https://www.decathlon.com/cdn/shop/files/8581546-product_image-p2606576.jpg?v=1712145145&width=150, https://www.decathlon.com/cdn/shop/files/8581546-product_image-p1983035.jpg?v=1700657902&width=150, https://www.decathlon.com/cdn/shop/files/8581546-product_image-p2480603.jpg?v=1700657902&width=150, https://www.decathlon.com/cdn/shop/files/8581546-product_image-p1933522.jpg?v=1700657902&width=150, https://www.decathlon.com/cdn/shop/files/8581546-product_image-p1933546.jpg?v=1700657903&width=150, https://www.decathlon.com/cdn/shop/files/8581546-product_image-p1933542.jpg?v=1700657903&width=150, https://www.decathlon.com/cdn/shop/files/8581546-product_image-p1933554.jpg?v=1700657903&width=150, https://www.decathlon.com/cdn/shop/files/8581546-product_image-p1933550.jpg?v=1700657904&width=150, https://www.decathlon.com/cdn/shop/files/8581546-product_image-p1933551.jpg?v=1700657904&width=150",https://www.decathlon.com/collections/duffel-bags/products/forclaz-100-basic-100-l-transport-backpacking-duffel-bag-324543
Hike & Camp / Bags & Backpacks / Travel Backpacks,Decathlon  Forclaz,Forclaz Travel 100 50L Backpack Pack,4.58,4998,"This backpack is ideal for travelling and going from one place to another without having to hike for too long: very robust and practical, your can transport all your belongings.
The Travel 100 only weighs 3 lbs and can contain a total volume of 50 liters which we recommend for a trip up to 2 weeks.
Pockets: with 1 large compartment and 3 exterior pockets, this backpack has the essential features if you are looking for a budget-friendly option.
Foam straps and adjustable back for ideal comfort when carrying your backpack around.
10-year warranty: the fabric of the bag is ultra resistant and Decathlon is proud to offer this warranty for any defect that could appear in the next 10 years.",8735043,Black,50 L,$69.99,,https://www.decathlon.com/cdn/shop/files/8735043-product_image-p2607010.jpg?v=1712146843&width=675,"https://www.decathlon.com/cdn/shop/files/8735043-product_image-p2607010.jpg?v=1712146843&width=150, https://www.decathlon.com/cdn/shop/files/8735043-product_image-p2237842.jpg?v=1721906659&width=150, https://www.decathlon.com/cdn/shop/files/8735043-product_image-p2237841.jpg?v=1721906663&width=150, https://www.decathlon.com/cdn/shop/files/8735043-product_image-p2237840.jpg?v=1700658594&width=150, https://www.decathlon.com/cdn/shop/files/8735043-product_image-p2163030.jpg?v=1700658591&width=150, https://www.decathlon.com/cdn/shop/files/8735043-product_image-p2480415.jpg?v=1700658593&width=150, https://www.decathlon.com/cdn/shop/files/8735043-product_image-p2237839.jpg?v=1700658594&width=150",https://www.decathlon.com/collections/travel-packs/products/forclaz-travel-100-50l-backpack-pack-6561
Hike & Camp / Bags & Backpacks / Daypacks,Decathlon  Quechua,Quechua MH100 20L Hiking Backpack,4.63,481,"Dimensions: 18.9” x 9” x 6.9” I Volume: 20 L
1 x Outside Pocket I 1 x Inside Pocket I 2 x Mesh Side Pockets I 1 x Belt Pocket I 1 x Water Compartment
Weight: 27 oz (760 g)
Ventilated back (AirCooling label) that regulates back perspiration.",8885209,Black,20 L,$39.97,,https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2621198.jpg?v=1705922211&width=675,"https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2621198.jpg?v=1705922211&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2497289.jpg?v=1706061020&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2595119.jpg?v=1705922272&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2437569.jpg?v=1705922266&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2437532.jpg?v=1705922264&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2437524.jpg?v=1705922261&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2437500.jpg?v=1705922256&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2422491.jpg?v=1705922253&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2422490.jpg?v=1705922247&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2422489.jpg?v=1705922244&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2422488.jpg?v=1706061020&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2422487.jpg?v=1705922214&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2422486.jpg?v=1706061020&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2422485.jpg?v=1706061020&width=150, https://www.decathlon.com/cdn/shop/files/8885209-product_image-p2422484.jpg?v=1706061020&width=150",https://www.decathlon.com/collections/daypacks/products/quechua-mh100-20l-hiking-backpack-355266
Hike & Camp / Bags & Backpacks / Hiking Backpacks,Decathlon  Quechua,Quechua NH300 Arpenaz 30L Hiking Backpack,4.54,65,"Volume: 30 L I Weight: 1.9 lb (850 g)
Honeycomb Ventilated Straps
4 x Zip Pockets: Includes water bladder compartment and 2 water bottle pockets",8844394,Black,One Size,$40.00,$59.99,https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698734.jpg?v=1718734896&width=675,"https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698734.jpg?v=1718734896&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2651416.jpg?v=1718734902&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698728.jpg?v=1718734909&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2651417.jpg?v=1709727425&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698736.jpg?v=1718734918&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698726.jpg?v=1718734925&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698730.jpg?v=1718734932&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698733.jpg?v=1718734940&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698732.jpg?v=1718734947&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698729.jpg?v=1718734954&width=150, https://www.decathlon.com/cdn/shop/files/8844394-product_image-p2698727.jpg?v=1718734961&width=150",https://www.decathlon.com/collections/all-hiking-backpacks/products/quechua-nh300-arpenaz-30l-hiking-backpack-350163
Hike & Camp / Bags & Backpacks / Backpacking Packs,Decathlon  Forclaz,Forclaz Men's MT100 Easyfit 50 L Backpacking Pack,4.61,966,"This backpack is made for multiple days hiking or trekking in autonomy. You can carry everything you need to camp, drink and eat on your back with comfort.
The MT100 only weighs 3.5 lbs and can contain a total volume of 50 liters which we recommend for a trip up to 2 weeks.
This backpack has the essential features if you are looking for a budget-friendly option: back ventilation, rain cover, water bottle holder, hiking poles holder, external pockets and a compartment for a water bladder for easy hydration.
The EASYFIT technology allows you to simultaneaously adjust the back and the straps of the bag by pulling the 2 straps located on each side of the bag.
This is a men's backpack: This bag has been conceived for a masculine morphology (torso and hips). We recommend to consider the users physical morphology when you choose a bag for comfort purposes when carrying it on your back.
10-year warranty: the fabric of the bag is ultra resistant and Decathlon is proud to offer this warranty for any defect that could appear in the next 10 years.",8559690,Carbon Gray,50 L,$99.99,,https://www.decathlon.com/cdn/shop/files/8559690-product_image-p2606485.jpg?v=1712144488&width=675,"https://www.decathlon.com/cdn/shop/files/8559690-product_image-p2606485.jpg?v=1712144488&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1775953.jpg?v=1705418707&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799231.jpg?v=1705418711&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799209.jpg?v=1705418717&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799215.jpg?v=1705418721&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799222.jpg?v=1705418726&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799238.jpg?v=1705418730&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799214.jpg?v=1705418735&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799217.jpg?v=1705418740&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799224.jpg?v=1705418745&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799225.jpg?v=1705418750&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799212.jpg?v=1705418755&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799219.jpg?v=1705418760&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799230.jpg?v=1705418765&width=150, https://www.decathlon.com/cdn/shop/files/8559690-product_image-p1799237.jpg?v=1705418770&width=150",https://www.decathlon.com/collections/backpacking-packs/products/mens-mountain-backpacking-rucksack-50-l-trek-100-easyfit-309807
Hike & Camp / Bags & Backpacks / Hiking Backpacks,Decathlon  Quechua,Quechua NH Arpenaz 300 20L Hiking Backpack,4.71,186,"2 thick pads along the back. Padded shoulder straps. Chest strap
4 x Zip Pockets. 1 x Organizer I 1 x Water Bladder Compartment I 2 x Water Bottle Pocket
Lightweight: 23 oz (650 g)",8844391,Carbon Gray,One Size,$35.00,$49.99,https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629724.jpg?v=1704895206&width=675,"https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629724.jpg?v=1704895206&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629728.jpg?v=1704895238&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2651415.jpg?v=1704895209&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629725.jpg?v=1704895218&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629719.jpg?v=1704895223&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629723.jpg?v=1704895228&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629726.jpg?v=1704895233&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629718.jpg?v=1704895242&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629716.jpg?v=1704895247&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629722.jpg?v=1704895272&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629721.jpg?v=1704895252&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629720.jpg?v=1704895257&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629727.jpg?v=1704895262&width=150, https://www.decathlon.com/cdn/shop/files/8844391-product_image-p2629717.jpg?v=1704895267&width=150",https://www.decathlon.com/collections/all-hiking-backpacks/products/hiking-backpack-20-l-nh-arpenaz-500-350154
Hike & Camp / Bags & Backpacks / Backpacks,Decathlon  Quechua,Quechua NH Escape 500 16 L Hiking Backpack,4.74,2497,"Capacity: 16 liters | 1.5 lbs | Dimensions: 15.7” x 11” x 7.9”
2 compartments | 12 pockets: 4 zipped, 2 bottle holders 0.6 L, 1 x 13” laptop pocket
10-year warranty: Durable and abrasion-resistant materials","8844302, 8649496","Yellow Ochre, Carbon Gray","16 L, 16 L","$39.99, $39.99",,https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629947.jpg?v=1709138155&width=675,"https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629947.jpg?v=1709138155&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2254053.jpg?v=1709138160&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2651426.jpg?v=1709138164&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629955.jpg?v=1709138169&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629941.jpg?v=1709138180&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629942.jpg?v=1709138184&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629946.jpg?v=1709138189&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629949.jpg?v=1709138193&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629948.jpg?v=1709138198&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629952.jpg?v=1709138203&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629954.jpg?v=1709138208&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629945.jpg?v=1709138213&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629944.jpg?v=1709138217&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629950.jpg?v=1709138222&width=150, https://www.decathlon.com/cdn/shop/files/8844302-product_image-p2629953.jpg?v=1712059366&width=150",https://www.decathlon.com/collections/lifestyle-packs/products/quechua-nh-escape-500-16-l-hiking-backpack-334520
Hike & Camp / Bags & Backpacks / Hiking Backpacks,Decathlon  Quechua,Quechua NH Arpenaz 100 10 L Hiking Backpack,4.7,4383,"User comfort: Foam-padded back and straps, with ventilated fabric | Adjustable straps | Thumb rests.
Multiple compartments: 1 x compartment | 2 x zipped pockets | 1 x flask holder.
Capacity: Great volume: 10 liters | Weight: 6.7 oz. | Dimensions: 15.7” x 8.6” x 5.9”
Abrasion resistance: Durable, abrasion-resistant components and assemblies | 10-year warranty","8775634, 8775637, 8789421, 8844351","Black, Slate Blue, Yellow Ochre, Dark Green","10 L, 10 L, 10 L, 10 L","$9.99, $9.99, $9.99, $9.99",,https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2621212.jpg?v=1712059796&width=675,"https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2621212.jpg?v=1712059796&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2423258.jpg?v=1704984367&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2485326.jpg?v=1705499207&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2423260.jpg?v=1704893182&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2423261.jpg?v=1704893188&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2423259.jpg?v=1704984372&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2423262.jpg?v=1704893175&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2611081.jpg?v=1716203949&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2423257.jpg?v=1716203955&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2423256.jpg?v=1716203960&width=150, https://www.decathlon.com/cdn/shop/files/8775634-product_image-p2423255.jpg?v=1716203965&width=150",https://www.decathlon.com/collections/all-hiking-backpacks/products/quechua-hiking-10l-backpack-arpenaz-nh100-344147
Hike & Camp / Bags & Backpacks / Backpack Accessories,Decathlon  Forclaz,Forclaz Travel 500 Replacement Backpack Buckle,4.5,2,"Replacement buckle so you can repair your back-up Travel 900 bag.
Beige buckles: Bag TRAVEL 500 Black buckles: Bag TRAVEL 900",8758507,Brown,One Size,$9.99,,https://www.decathlon.com/cdn/shop/files/8758507-product_image-p2606677.jpg?v=1714476241&width=675,https://www.decathlon.com/cdn/shop/files/8758507-product_image-p2606677.jpg?v=1714476241&width=150,https://www.decathlon.com/collections/backpack-accessories/products/forclaz-travel-500-replacement-backpack-buckle-341791
